Seniority;Home;Time;Age;Marital;Records;Job;Expenses;Income;Assets;Debt;Amount;Price;Status
26.0;0.0;60.0;51.0;0.0;1.0;0.0;45.0;143.0;3500.0;0.0;1350.0;1357.0;1
12.0;0.0;36.0;54.0;0.0;1.0;0.0;60.0;130.0;4000.0;0.0;700.0;2100.0;1
19.0;0.0;60.0;43.0;1.0;1.0;0.0;75.0;180.0;4000.0;0.0;1000.0;1070.0;1
15.0;0.0;36.0;43.0;0.0;1.0;0.0;75.0;251.0;4000.0;0.0;1800.0;2557.0;1
3.0;0.0;24.0;23.0;0.0;1.0;0.0;75.0;85.0;5000.0;0.0;600.0;1600.0;0
4.0;0.0;48.0;29.0;0.0;1.0;0.0;45.0;150.0;5000.0;3300.0;1100.0;1312.0;1
0.0;0.0;36.0;23.0;1.0;1.0;1.0;45.0;122.0;2500.0;0.0;400.0;400.0;0
14.0;1.0;24.0;51.0;0.0;1.0;1.0;75.0;198.0;1000.0;0.0;450.0;650.0;1
10.0;0.0;36.0;39.0;0.0;1.0;1.0;75.0;150.0;3000.0;0.0;1000.0;1394.0;1
12.0;1.0;36.0;35.0;1.0;1.0;0.0;35.0;170.0;0.0;0.0;1100.0;1542.0;1
32.0;0.0;24.0;62.0;0.0;1.0;1.0;45.0;119.0;8500.0;0.0;700.0;1200.0;1
10.0;0.0;24.0;56.0;0.0;1.0;1.0;45.0;208.0;13500.0;0.0;500.0;1560.0;1
7.0;0.0;48.0;32.0;0.0;1.0;0.0;75.0;115.0;3000.0;0.0;800.0;1200.0;1
1.0;1.0;54.0;36.0;0.0;1.0;0.0;70.0;99.0;0.0;0.0;950.0;950.0;0
30.0;0.0;60.0;64.0;0.0;1.0;0.0;45.0;120.0;14000.0;0.0;1125.0;1300.0;1
5.0;1.0;48.0;31.0;1.0;1.0;0.0;44.0;90.0;0.0;0.0;1300.0;1700.0;0
24.0;0.0;60.0;42.0;0.0;1.0;0.0;75.0;137.0;4000.0;0.0;900.0;1167.0;1
0.0;0.0;60.0;61.0;1.0;1.0;1.0;35.0;230.0;50000.0;0.0;950.0;1150.0;1
0.0;0.0;60.0;32.0;0.0;2.0;0.0;45.0;142.0;7000.0;3000.0;1250.0;1566.0;0
2.0;0.0;60.0;43.0;0.0;1.0;1.0;75.0;71.0;3000.0;0.0;1500.0;1552.0;0
1.0;1.0;60.0;26.0;1.0;1.0;1.0;35.0;120.0;0.0;0.0;1150.0;1300.0;1
1.0;0.0;60.0;49.0;1.0;1.0;1.0;35.0;233.0;15900.0;4500.0;2100.0;2104.0;1
15.0;0.0;36.0;47.0;0.0;1.0;0.0;75.0;289.0;3500.0;0.0;1500.0;2154.0;1
2.0;1.0;36.0;27.0;1.0;1.0;0.0;48.0;128.0;0.0;0.0;450.0;545.0;0
25.0;0.0;36.0;52.0;0.0;1.0;1.0;60.0;150.0;15000.0;0.0;750.0;1778.0;1
8.0;0.0;60.0;28.0;0.0;1.0;0.0;60.0;145.0;4000.0;1000.0;1600.0;1718.0;1
5.0;0.0;60.0;31.0;0.0;1.0;0.0;75.0;90.0;4000.0;0.0;900.0;1500.0;1
0.0;1.0;60.0;32.0;0.0;1.0;0.0;105.0;301.0;0.0;0.0;1200.0;1274.0;1
5.0;0.0;36.0;51.0;0.0;1.0;1.0;75.0;200.0;2100.0;1200.0;900.0;1015.0;1
3.0;1.0;12.0;37.0;0.0;1.0;1.0;60.0;150.0;500.0;0.0;500.0;1701.0;1
1.0;1.0;48.0;29.0;0.0;2.0;1.0;85.0;100.0;0.0;0.0;1000.0;1345.0;0
7.0;1.0;60.0;26.0;1.0;1.0;0.0;35.0;100.0;0.0;0.0;1000.0;1238.0;1
4.0;1.0;30.0;27.0;1.0;1.0;0.0;45.0;100.0;5000.0;0.0;500.0;1048.0;1
6.0;0.0;24.0;63.0;0.0;1.0;0.0;60.0;155.0;4000.0;0.0;600.0;1048.0;1
14.0;0.0;24.0;55.0;0.0;1.0;0.0;90.0;715.0;5000.0;0.0;800.0;1324.0;1
3.0;1.0;60.0;28.0;0.0;1.0;0.0;70.0;245.0;0.0;0.0;1830.0;2201.0;1
8.0;1.0;48.0;31.0;0.0;1.0;0.0;90.0;150.0;0.0;0.0;1100.0;1430.0;1
4.0;1.0;42.0;27.0;1.0;1.0;0.0;35.0;70.0;0.0;0.0;600.0;926.0;0
22.0;0.0;24.0;40.0;0.0;1.0;0.0;75.0;190.0;3000.0;0.0;1000.0;1500.0;1
2.0;0.0;36.0;35.0;0.0;1.0;0.0;75.0;152.0;3000.0;0.0;1000.0;1542.0;1
15.0;1.0;60.0;43.0;0.0;1.0;0.0;75.0;126.0;3000.0;0.0;1350.0;1360.0;1
10.0;0.0;18.0;34.0;0.0;1.0;1.0;75.0;181.0;4000.0;0.0;600.0;1000.0;1
4.0;0.0;60.0;37.0;0.0;1.0;0.0;60.0;185.0;3000.0;0.0;1200.0;1564.0;1
9.0;0.0;60.0;53.0;0.0;1.0;0.0;45.0;170.0;2500.0;0.0;850.0;1205.0;1
22.0;1.0;60.0;46.0;0.0;1.0;0.0;93.0;176.0;7500.0;0.0;2000.0;2200.0;1
18.0;1.0;36.0;36.0;0.0;1.0;1.0;60.0;238.0;0.0;0.0;900.0;2214.0;1
1.0;1.0;60.0;46.0;0.0;1.0;0.0;60.0;115.0;5500.0;800.0;1000.0;1137.0;1
14.0;0.0;48.0;43.0;0.0;1.0;0.0;45.0;200.0;9000.0;0.0;600.0;1025.0;1
8.0;0.0;36.0;31.0;0.0;2.0;1.0;75.0;411.0;9000.0;4000.0;800.0;1593.0;1
5.0;0.0;24.0;43.0;0.0;1.0;0.0;75.0;93.0;3000.0;0.0;700.0;1735.0;1
19.0;1.0;60.0;38.0;0.0;1.0;0.0;86.0;108.0;0.0;0.0;1000.0;1132.0;1
14.0;0.0;12.0;37.0;0.0;1.0;1.0;90.0;500.0;4000.0;0.0;500.0;1338.0;1
0.0;1.0;36.0;46.0;0.0;2.0;1.0;45.0;45.0;0.0;0.0;900.0;1100.0;1
9.0;1.0;36.0;55.0;0.0;1.0;0.0;70.0;250.0;30000.0;0.0;1750.0;2276.0;1
29.0;0.0;48.0;56.0;0.0;1.0;0.0;45.0;100.0;3000.0;0.0;900.0;1360.0;1
10.0;0.0;36.0;55.0;0.0;1.0;0.0;60.0;70.0;4000.0;0.0;1000.0;1436.0;1
10.0;1.0;36.0;52.0;0.0;1.0;0.0;60.0;150.0;0.0;0.0;550.0;612.0;1
1.0;0.0;36.0;29.0;0.0;1.0;0.0;60.0;70.0;4500.0;0.0;850.0;1100.0;0
11.0;0.0;60.0;39.0;1.0;2.0;0.0;35.0;263.0;2500.0;0.0;1000.0;1300.0;1
10.0;0.0;60.0;38.0;0.0;1.0;1.0;75.0;200.0;9000.0;0.0;1000.0;2089.0;1
5.0;0.0;24.0;24.0;1.0;1.0;0.0;35.0;78.0;6000.0;3000.0;500.0;2262.0;1
10.0;1.0;60.0;28.0;1.0;1.0;0.0;47.0;120.0;0.0;0.0;600.0;1054.0;1
27.0;0.0;60.0;53.0;0.0;1.0;0.0;60.0;125.0;10000.0;0.0;1426.0;1426.0;1
0.0;1.0;60.0;25.0;1.0;1.0;1.0;40.0;50.0;0.0;0.0;1040.0;1048.0;0
25.0;1.0;60.0;62.0;0.0;1.0;0.0;60.0;146.0;0.0;0.0;1000.0;1292.0;0
3.0;1.0;60.0;29.0;1.0;1.0;0.0;35.0;70.0;0.0;0.0;950.0;1177.0;1
9.0;1.0;60.0;32.0;1.0;2.0;0.0;35.0;105.0;0.0;0.0;1490.0;1490.0;0
4.0;1.0;36.0;21.0;0.0;1.0;1.0;101.0;413.0;6000.0;0.0;750.0;850.0;1
6.0;1.0;36.0;38.0;0.0;1.0;1.0;95.0;500.0;25000.0;21400.0;800.0;1011.0;1
9.0;1.0;48.0;56.0;0.0;1.0;1.0;140.0;350.0;0.0;0.0;1400.0;1571.0;1
3.0;0.0;36.0;41.0;0.0;1.0;1.0;75.0;200.0;3000.0;0.0;1000.0;1000.0;1
22.0;1.0;36.0;46.0;0.0;1.0;0.0;45.0;138.0;0.0;0.0;250.0;270.0;0
3.0;0.0;60.0;54.0;1.0;1.0;1.0;35.0;80.0;4000.0;0.0;950.0;1382.0;1
30.0;0.0;36.0;51.0;0.0;1.0;1.0;120.0;208.0;15000.0;0.0;1500.0;1713.0;1
8.0;1.0;60.0;52.0;0.0;1.0;0.0;89.0;137.0;4000.0;0.0;800.0;1086.0;1
38.0;0.0;48.0;57.0;0.0;1.0;1.0;45.0;58.0;12000.0;0.0;1500.0;3262.0;1
2.0;1.0;60.0;33.0;0.0;1.0;0.0;73.0;130.0;0.0;0.0;1100.0;1610.0;1
4.0;0.0;60.0;33.0;0.0;1.0;0.0;75.0;123.0;6000.0;1000.0;600.0;1030.0;1
0.0;1.0;36.0;29.0;0.0;1.0;1.0;78.0;180.0;0.0;0.0;650.0;650.0;0
2.0;1.0;48.0;23.0;1.0;1.0;0.0;35.0;140.0;0.0;0.0;1950.0;2175.0;0
8.0;0.0;24.0;33.0;0.0;1.0;0.0;75.0;315.0;4500.0;0.0;400.0;1780.0;1
1.0;1.0;36.0;24.0;0.0;1.0;1.0;76.0;164.0;0.0;0.0;900.0;950.0;0
6.0;1.0;60.0;28.0;0.0;1.0;1.0;90.0;325.0;7000.0;0.0;1200.0;1211.0;0
5.0;0.0;60.0;27.0;0.0;1.0;0.0;45.0;135.0;5000.0;1400.0;1600.0;1650.0;1
13.0;1.0;36.0;33.0;1.0;1.0;0.0;35.0;109.0;0.0;0.0;350.0;350.0;0
11.0;1.0;60.0;32.0;0.0;1.0;0.0;79.0;185.0;0.0;0.0;950.0;1117.0;1
10.0;0.0;24.0;39.0;0.0;1.0;0.0;45.0;217.0;9000.0;3000.0;1500.0;2468.0;1
20.0;0.0;60.0;51.0;0.0;1.0;1.0;90.0;300.0;12500.0;2500.0;1340.0;1740.0;0
0.0;0.0;36.0;39.0;1.0;1.0;1.0;35.0;0.0;4000.0;0.0;1000.0;1210.0;0
13.0;0.0;48.0;29.0;0.0;1.0;0.0;60.0;253.0;3000.0;0.0;670.0;963.0;1
2.0;0.0;36.0;32.0;0.0;1.0;0.0;75.0;101.0;1500.0;400.0;1200.0;1646.0;0
3.0;0.0;36.0;40.0;0.0;2.0;1.0;35.0;200.0;10000.0;0.0;800.0;800.0;0
12.0;0.0;36.0;47.0;0.0;1.0;0.0;75.0;124.0;3500.0;0.0;460.0;470.0;1
20.0;0.0;24.0;66.0;0.0;1.0;0.0;45.0;143.0;10000.0;0.0;950.0;1370.0;1
3.0;1.0;48.0;39.0;1.0;1.0;1.0;35.0;250.0;4000.0;1500.0;700.0;839.0;1
27.0;0.0;60.0;50.0;0.0;1.0;0.0;75.0;135.0;5500.0;1000.0;600.0;1346.0;1
4.0;1.0;60.0;25.0;0.0;1.0;0.0;57.0;115.0;0.0;0.0;900.0;1350.0;1
1.0;0.0;60.0;27.0;0.0;1.0;1.0;75.0;160.0;4000.0;3000.0;1800.0;2100.0;0
18.0;1.0;60.0;54.0;0.0;1.0;0.0;66.0;214.0;0.0;0.0;1300.0;1307.0;1
12.0;1.0;60.0;42.0;0.0;1.0;0.0;114.0;390.0;0.0;0.0;1100.0;1126.0;1
12.0;0.0;48.0;35.0;1.0;1.0;1.0;45.0;500.0;200000.0;0.0;2380.0;4786.0;1
0.0;1.0;60.0;23.0;1.0;1.0;1.0;35.0;95.0;0.0;0.0;1400.0;1478.0;0
12.0;0.0;60.0;52.0;0.0;1.0;0.0;75.0;200.0;12000.0;0.0;1550.0;1568.0;1
0.0;1.0;24.0;22.0;1.0;1.0;1.0;35.0;85.0;0.0;0.0;650.0;1056.0;1
10.0;1.0;18.0;48.0;0.0;1.0;0.0;90.0;214.0;0.0;0.0;1000.0;1608.0;1
2.0;0.0;60.0;25.0;0.0;1.0;0.0;75.0;140.0;3000.0;0.0;950.0;1179.0;1
10.0;1.0;60.0;26.0;0.0;1.0;0.0;45.0;60.0;0.0;0.0;1400.0;1524.0;0
8.0;0.0;60.0;28.0;0.0;1.0;0.0;75.0;180.0;4000.0;0.0;1300.0;1730.0;1
20.0;0.0;30.0;62.0;0.0;1.0;1.0;60.0;300.0;24000.0;9000.0;600.0;823.0;1
0.0;1.0;60.0;33.0;0.0;1.0;1.0;65.0;200.0;0.0;0.0;700.0;800.0;1
16.0;1.0;60.0;41.0;0.0;1.0;0.0;75.0;242.0;0.0;0.0;1300.0;1482.0;1
4.0;0.0;60.0;29.0;0.0;1.0;1.0;60.0;155.0;5000.0;2500.0;900.0;1110.0;1
1.0;1.0;60.0;37.0;1.0;1.0;0.0;45.0;100.0;0.0;0.0;1150.0;1555.0;0
0.0;0.0;60.0;31.0;0.0;1.0;0.0;60.0;105.0;3500.0;0.0;1100.0;1170.0;1
15.0;0.0;12.0;50.0;0.0;1.0;1.0;45.0;166.0;2000.0;0.0;500.0;886.0;1
13.0;1.0;60.0;42.0;1.0;2.0;0.0;47.0;120.0;0.0;0.0;800.0;1395.0;0
19.0;0.0;36.0;33.0;0.0;1.0;0.0;60.0;115.0;6700.0;2000.0;1000.0;2084.0;1
15.0;0.0;24.0;54.0;0.0;1.0;1.0;90.0;350.0;150000.0;0.0;3800.0;8800.0;1
40.0;0.0;36.0;58.0;0.0;1.0;1.0;75.0;0.0;50000.0;0.0;1000.0;1160.0;1
9.0;1.0;60.0;40.0;0.0;1.0;0.0;119.0;442.0;6000.0;1947.0;900.0;1211.0;1
12.0;1.0;60.0;31.0;1.0;2.0;0.0;35.0;101.0;0.0;0.0;1300.0;1300.0;0
0.0;0.0;36.0;35.0;0.0;2.0;0.0;105.0;122.0;5200.0;2000.0;850.0;850.0;0
14.0;0.0;60.0;64.0;0.0;1.0;1.0;60.0;250.0;10000.0;0.0;700.0;1204.0;1
10.0;1.0;24.0;29.0;1.0;1.0;1.0;35.0;90.0;0.0;0.0;600.0;1528.0;1
2.0;0.0;48.0;33.0;0.0;1.0;0.0;45.0;160.0;6000.0;0.0;1200.0;1298.0;1
15.0;0.0;18.0;35.0;0.0;1.0;1.0;60.0;300.0;4000.0;0.0;300.0;600.0;1
1.0;1.0;48.0;28.0;1.0;1.0;0.0;35.0;83.0;0.0;0.0;1000.0;1320.0;0
27.0;0.0;60.0;59.0;0.0;1.0;1.0;45.0;0.0;11000.0;0.0;1100.0;1300.0;1
0.0;1.0;60.0;25.0;0.0;1.0;1.0;60.0;60.0;0.0;0.0;1300.0;1380.0;0
0.0;1.0;60.0;23.0;1.0;1.0;1.0;35.0;205.0;0.0;0.0;1400.0;1426.0;0
3.0;0.0;24.0;30.0;0.0;1.0;1.0;75.0;133.0;12000.0;900.0;1500.0;5200.0;1
8.0;1.0;36.0;36.0;0.0;1.0;0.0;78.0;179.0;0.0;0.0;900.0;1503.0;1
3.0;0.0;48.0;25.0;1.0;1.0;1.0;35.0;0.0;4000.0;0.0;1200.0;1449.0;1
5.0;1.0;60.0;22.0;1.0;1.0;0.0;45.0;195.0;0.0;0.0;700.0;1422.0;1
9.0;0.0;24.0;45.0;0.0;1.0;0.0;75.0;112.0;4000.0;0.0;500.0;1430.0;1
4.0;0.0;30.0;47.0;0.0;1.0;1.0;90.0;210.0;15000.0;0.0;1550.0;1578.0;1
14.0;1.0;48.0;36.0;0.0;1.0;0.0;75.0;155.0;3500.0;200.0;1100.0;1250.0;1
3.0;0.0;36.0;36.0;1.0;2.0;1.0;35.0;394.0;16000.0;0.0;1500.0;2260.0;1
22.0;1.0;36.0;60.0;0.0;1.0;0.0;60.0;149.0;0.0;0.0;200.0;280.0;1
20.0;1.0;48.0;59.0;0.0;1.0;0.0;57.0;120.0;0.0;0.0;800.0;1298.0;1
6.0;0.0;48.0;58.0;0.0;2.0;1.0;60.0;400.0;86000.0;0.0;930.0;945.0;0
23.0;0.0;12.0;37.0;0.0;1.0;0.0;45.0;165.0;5000.0;0.0;900.0;1694.0;1
5.0;0.0;36.0;32.0;0.0;1.0;1.0;75.0;125.0;6000.0;0.0;600.0;700.0;0
8.0;1.0;48.0;26.0;1.0;1.0;0.0;42.0;74.0;0.0;0.0;600.0;1290.0;1
5.0;0.0;60.0;40.0;0.0;1.0;0.0;75.0;86.0;4900.0;0.0;1300.0;1581.0;1
20.0;0.0;48.0;55.0;0.0;1.0;0.0;45.0;185.0;5000.0;0.0;1000.0;1383.0;1
11.0;1.0;60.0;30.0;0.0;1.0;0.0;77.0;165.0;0.0;0.0;1350.0;1637.0;1
25.0;1.0;54.0;43.0;0.0;1.0;0.0;75.0;110.0;7000.0;0.0;1275.0;1275.0;1
2.0;1.0;60.0;28.0;0.0;1.0;0.0;74.0;138.0;0.0;0.0;1400.0;1400.0;0
20.0;0.0;24.0;47.0;0.0;1.0;1.0;75.0;300.0;5000.0;0.0;600.0;832.0;1
9.0;0.0;36.0;29.0;1.0;1.0;0.0;35.0;147.0;3500.0;0.0;1886.0;2886.0;1
0.0;1.0;60.0;48.0;1.0;2.0;1.0;35.0;0.0;25300.0;15500.0;1200.0;1257.0;0
18.0;1.0;60.0;34.0;0.0;1.0;0.0;60.0;112.0;6550.0;0.0;600.0;1346.0;1
20.0;0.0;60.0;53.0;0.0;2.0;1.0;75.0;350.0;6500.0;0.0;800.0;1138.0;1
6.0;0.0;12.0;44.0;0.0;1.0;0.0;45.0;110.0;15000.0;0.0;300.0;1801.0;1
0.0;0.0;48.0;49.0;0.0;1.0;1.0;45.0;75.0;2000.0;0.0;900.0;1200.0;0
0.0;1.0;36.0;51.0;0.0;1.0;0.0;113.0;230.0;0.0;0.0;950.0;950.0;1
14.0;1.0;60.0;34.0;0.0;1.0;0.0;75.0;85.0;8000.0;0.0;1400.0;1589.0;1
10.0;0.0;48.0;42.0;0.0;1.0;1.0;75.0;210.0;4000.0;120.0;1200.0;1617.0;1
19.0;0.0;60.0;34.0;0.0;1.0;0.0;75.0;125.0;5000.0;0.0;1200.0;1200.0;1
11.0;0.0;60.0;46.0;0.0;1.0;0.0;75.0;149.0;3500.0;0.0;1400.0;2194.0;1
1.0;0.0;48.0;31.0;0.0;1.0;0.0;75.0;201.0;2500.0;96.0;1100.0;1642.0;1
13.0;1.0;60.0;31.0;0.0;1.0;0.0;60.0;105.0;0.0;0.0;1200.0;1423.0;0
4.0;1.0;12.0;33.0;0.0;1.0;0.0;78.0;183.0;0.0;0.0;600.0;1600.0;1
9.0;1.0;24.0;30.0;1.0;2.0;0.0;46.0;113.0;0.0;0.0;700.0;700.0;0
1.0;0.0;24.0;27.0;0.0;1.0;0.0;45.0;126.0;3000.0;3700.0;200.0;300.0;1
4.0;0.0;36.0;48.0;0.0;1.0;1.0;120.0;300.0;5000.0;0.0;1000.0;1165.0;1
2.0;0.0;60.0;33.0;0.0;1.0;0.0;75.0;160.0;6000.0;0.0;1000.0;1365.0;1
2.0;0.0;12.0;44.0;0.0;1.0;0.0;90.0;160.0;7500.0;0.0;500.0;1706.0;1
0.0;1.0;36.0;48.0;0.0;2.0;1.0;45.0;0.0;0.0;0.0;1600.0;2053.0;0
21.0;0.0;60.0;57.0;0.0;1.0;1.0;60.0;95.0;8000.0;0.0;1000.0;1700.0;1
12.0;0.0;60.0;34.0;0.0;2.0;0.0;75.0;125.0;5500.0;4000.0;950.0;1462.0;1
9.0;1.0;60.0;38.0;0.0;1.0;0.0;87.0;120.0;0.0;0.0;1177.0;1300.0;1
2.0;1.0;36.0;35.0;0.0;1.0;0.0;126.0;359.0;0.0;0.0;870.0;1122.0;1
24.0;0.0;60.0;52.0;0.0;1.0;0.0;45.0;80.0;4000.0;0.0;1200.0;1257.0;1
1.0;1.0;60.0;28.0;1.0;1.0;1.0;35.0;67.0;0.0;0.0;1050.0;1387.0;1
15.0;0.0;48.0;46.0;0.0;1.0;0.0;90.0;148.0;12000.0;0.0;1000.0;1266.0;1
19.0;0.0;60.0;56.0;0.0;2.0;0.0;45.0;298.0;8000.0;0.0;1700.0;2195.0;1
10.0;0.0;24.0;52.0;0.0;1.0;0.0;75.0;318.0;4500.0;700.0;700.0;2004.0;1
19.0;0.0;60.0;35.0;0.0;1.0;0.0;75.0;185.0;4000.0;0.0;1100.0;1203.0;1
10.0;0.0;36.0;45.0;0.0;2.0;1.0;60.0;0.0;9500.0;250.0;750.0;1138.0;1
4.0;1.0;48.0;29.0;0.0;1.0;0.0;45.0;194.0;0.0;0.0;1200.0;1374.0;1
1.0;1.0;60.0;22.0;1.0;1.0;0.0;35.0;80.0;3000.0;0.0;1500.0;1514.0;0
2.0;0.0;24.0;33.0;0.0;2.0;0.0;75.0;147.0;2000.0;900.0;400.0;750.0;1
5.0;0.0;24.0;41.0;0.0;1.0;1.0;105.0;156.0;10000.0;0.0;800.0;1894.0;1
11.0;0.0;36.0;37.0;0.0;1.0;0.0;75.0;178.0;3000.0;0.0;1000.0;1048.0;1
23.0;0.0;24.0;46.0;0.0;1.0;0.0;75.0;130.0;4000.0;0.0;400.0;1369.0;1
4.0;1.0;36.0;19.0;1.0;1.0;1.0;35.0;63.0;0.0;0.0;1000.0;1035.0;0
5.0;1.0;36.0;22.0;1.0;1.0;0.0;35.0;88.0;0.0;0.0;750.0;1218.0;0
15.0;1.0;60.0;31.0;0.0;1.0;0.0;45.0;140.0;0.0;0.0;1200.0;1637.0;1
1.0;1.0;60.0;44.0;0.0;1.0;1.0;45.0;115.0;2000.0;0.0;750.0;953.0;0
9.0;0.0;60.0;48.0;0.0;2.0;0.0;60.0;83.0;2500.0;0.0;1100.0;1212.0;1
4.0;1.0;36.0;31.0;0.0;1.0;0.0;60.0;144.0;3000.0;0.0;1000.0;1218.0;1
20.0;0.0;24.0;53.0;0.0;1.0;1.0;45.0;200.0;100000.0;0.0;1000.0;1419.0;1
10.0;1.0;60.0;36.0;0.0;1.0;0.0;90.0;172.0;3000.0;0.0;1100.0;1100.0;1
2.0;1.0;60.0;46.0;0.0;1.0;1.0;105.0;200.0;4000.0;500.0;900.0;987.0;1
15.0;0.0;60.0;37.0;0.0;1.0;0.0;60.0;318.0;7000.0;0.0;1900.0;2400.0;1
8.0;0.0;60.0;34.0;0.0;1.0;0.0;60.0;177.0;6300.0;4000.0;1370.0;1375.0;1
4.0;0.0;48.0;36.0;0.0;1.0;0.0;60.0;133.0;4000.0;0.0;1000.0;1595.0;1
4.0;0.0;60.0;64.0;1.0;1.0;1.0;35.0;150.0;9000.0;0.0;984.0;1054.0;1
1.0;0.0;36.0;27.0;1.0;1.0;0.0;35.0;208.0;9000.0;0.0;1000.0;1651.0;1
10.0;0.0;30.0;26.0;0.0;1.0;0.0;75.0;145.0;1434.0;0.0;300.0;1542.0;1
32.0;0.0;60.0;53.0;0.0;1.0;0.0;60.0;157.0;5000.0;0.0;2000.0;2014.0;1
12.0;0.0;60.0;50.0;0.0;1.0;0.0;45.0;190.0;9500.0;200.0;1800.0;2624.0;1
0.0;1.0;60.0;21.0;1.0;1.0;1.0;35.0;86.0;0.0;0.0;1000.0;1135.0;0
20.0;1.0;24.0;40.0;1.0;1.0;0.0;35.0;90.0;0.0;0.0;600.0;1105.0;1
6.0;1.0;60.0;49.0;0.0;2.0;1.0;100.0;100.0;30000.0;0.0;1500.0;1500.0;1
4.0;1.0;24.0;40.0;0.0;2.0;0.0;56.0;214.0;0.0;0.0;800.0;1200.0;0
1.0;1.0;60.0;37.0;1.0;1.0;0.0;45.0;100.0;0.0;0.0;1150.0;1555.0;1
2.0;1.0;48.0;25.0;0.0;1.0;0.0;57.0;117.0;0.0;0.0;800.0;2251.0;1
25.0;0.0;18.0;40.0;0.0;1.0;0.0;45.0;110.0;4000.0;0.0;455.0;1542.0;1
1.0;1.0;36.0;22.0;0.0;1.0;0.0;62.0;168.0;0.0;0.0;1200.0;2186.0;1
10.0;0.0;48.0;49.0;0.0;1.0;1.0;45.0;150.0;9000.0;0.0;1700.0;1700.0;1
2.0;0.0;60.0;34.0;0.0;1.0;0.0;45.0;166.0;7000.0;0.0;600.0;1180.0;1
13.0;1.0;24.0;49.0;0.0;1.0;1.0;90.0;0.0;0.0;0.0;700.0;800.0;0
10.0;1.0;60.0;43.0;0.0;1.0;1.0;90.0;0.0;0.0;0.0;1350.0;1668.0;0
20.0;0.0;36.0;42.0;0.0;1.0;1.0;90.0;250.0;4500.0;0.0;1500.0;1750.0;1
10.0;0.0;48.0;28.0;0.0;2.0;1.0;60.0;120.0;2500.0;1500.0;600.0;875.0;1
1.0;0.0;60.0;30.0;0.0;1.0;1.0;35.0;236.0;3500.0;1000.0;1000.0;1514.0;1
1.0;0.0;60.0;25.0;1.0;2.0;1.0;45.0;277.0;6000.0;3500.0;1700.0;1950.0;0
0.0;1.0;60.0;22.0;1.0;1.0;1.0;35.0;55.0;0.0;0.0;950.0;1462.0;0
5.0;1.0;36.0;27.0;1.0;1.0;0.0;35.0;200.0;4000.0;0.0;600.0;1098.0;1
3.0;1.0;60.0;26.0;1.0;1.0;0.0;45.0;235.0;0.0;0.0;800.0;840.0;1
